Image,Latitude,Longitude,Date
01980,-37.681114887638884,144.88444764519443,2017-02-22
01981,-37.68815245525,144.9445913796389,2017-02-22
01982,-37.68079046427778,144.8854872751111,2017-02-22
01983,-37.688037167527774,144.94347090066668,2017-02-22
01984,-37.68256355141666,144.91253350905555,2017-02-22
01985,-37.68208368322222,144.9115794693889,2017-02-22
01986,-37.684954420472216,144.91808848855555,2017-02-22
01987,-37.684789072777775,144.91698151075,2017-02-22
01988,-37.688791849055555,144.9515683161111,2017-02-22
01989,-37.68089736394444,144.89740243663888,2017-02-22
01990,-37.68868957527778,144.95044098027776,2017-02-22
01991,-37.680936177999996,144.89627207697222,2017-02-22
01992,-37.68696129197222,144.93384074855555,2017-02-22
01993,-37.68682633444444,144.93272259680555,2017-02-22
01994,-37.68660212499999,144.9309356191389,2017-02-22
01995,-37.686743904555556,144.93205201541664,2017-02-22
01996,-37.68910705027778,144.95425421494443,2017-02-22
01997,-37.688949465166665,144.9531418003889,2017-02-22
01998,-37.683456903638884,144.91348935841668,2017-02-22
01999,-37.68114593333333,144.90551407419446,2017-02-22
02000,-37.68405159630555,144.9143339316389,2017-02-22
02001,-37.681101998277775,144.90438787958334,2017-02-22
02002,-37.680827793805555,144.89119188502778,2017-02-22
02003,-37.680888214305554,144.8923242476111,2017-02-22
02004,-37.68521425319444,144.9198671741389,2017-02-22
02005,-37.685053706527775,144.9187539508611,2017-02-22
02006,-37.685790526249995,144.92433598316666,2017-02-22
02007,-37.687410524499995,144.93753010244444,2017-02-22
02008,-37.68564992933333,144.92321893497223,2017-02-22
02009,-37.687535628444444,144.9386491263889,2017-02-22
02010,-37.686074159361105,144.9268038806111,2017-02-22
02011,-37.68594952141666,144.92568202849998,2017-02-22
02012,-37.680990785861106,144.89367707205554,2017-02-22
02013,-37.689395071361105,144.9572757171111,2017-02-22
02014,-37.68098816613889,144.89480553458333,2017-02-22
02015,-37.681050653638884,144.90348612244446,2017-02-22
02016,-37.680917330638884,144.90236511205555,2017-02-22
02017,-37.68052415969444,144.88701433583333,2017-02-22
02018,-37.68059627461111,144.88814265708334,2017-02-22
02019,-37.68794577536111,144.94257403544444,2017-02-22
02020,-37.68781148833333,144.94145751822222,2017-02-22
02021,-37.68212128463889,144.91168238669445,2017-02-22
02022,-37.68262369405555,144.91261829877777,2017-02-22
02023,-37.68760033002778,144.93955225175,2017-02-22
02024,-37.68771785288889,144.9406765746111,2017-02-22
02025,-37.68802579861111,144.94335874958333,2017-02-22
02026,-37.680828249777775,144.88538575694443,2017-02-22
02027,-37.68814080627777,144.94447940944445,2017-02-22
02028,-37.68113072019444,144.88433786916667,2017-02-22
02029,-37.68093905297222,144.89615904583331,2017-02-22
02030,-37.68868054786111,144.9503281545,2017-02-22
02031,-37.68090173561111,144.89728936430555,2017-02-22
02032,-37.68878049075,144.95145560158332,2017-02-22
02033,-37.686812554,144.93261084699998,2017-02-22
02034,-37.68694731683333,144.9337290183611,2017-02-22
02035,-37.68480536716666,144.91709216177776,2017-02-22
02036,-37.68497146572222,144.91819923938888,2017-02-22
02037,-37.68507058169444,144.91886478583334,2017-02-22
02038,-37.68523021108333,144.9199786754722,2017-02-22
02039,-37.68089761522222,144.89243696369445,2017-02-22
02040,-37.68083270025,144.8913050963889,2017-02-22
02041,-37.687546072055554,144.93876137058334,2017-02-22
02042,-37.68566428786111,144.9233304228611,2017-02-22
02043,-37.687424257555556,144.9376418267778,2017-02-22
02044,-37.685803678638884,144.92444829777776,2017-02-22
02045,-37.68673011197222,144.93194011202777,2017-02-22
02046,-37.68658772172222,144.93082388191667,2017-02-22
02047,-37.68110177986111,144.90427473413888,2017-02-22
02048,-37.68400311311111,144.91423912880555,2017-02-22
02049,-37.68113206575,144.90540315272222,2017-02-22
02050,-37.68338547952777,144.91341929191668,2017-02-22
02051,-37.688937555555555,144.95302964216665,2017-02-22
02052,-37.68908943588889,144.95414360919443,2017-02-22
02053,-37.68058670672222,144.88802984855556,2017-02-22
02054,-37.680525521027775,144.8869014116389,2017-02-22
02055,-37.680899692249994,144.90225398772222,2017-02-22
02056,-37.68103904727778,144.90337368538889,2017-02-22
02057,-37.687796210416664,144.9413462380278,2017-02-22
02058,-37.68793373138889,144.9424620061389,2017-02-22
02059,-37.68596324675,144.92579414530556,2017-02-22
02060,-37.68608835008333,144.9269151818611,2017-02-22
02061,-37.680983913055556,144.89491825563888,2017-02-22
02062,-37.68940349658333,144.95738882491665,2017-02-22
02063,-37.68099726383333,144.89378994122222,2017-02-22
02064,-37.68092871319444,144.89649806825,2017-02-22
02065,-37.68921590588889,144.9549169046111,2017-02-22
02066,-37.680967489388884,144.89536923427778,2017-02-22
02067,-37.68933788602777,144.9560358648611,2017-02-22
02068,-37.686273986249994,144.9282504174722,2017-02-22
02069,-37.68641164269444,144.92936920702778,2017-02-22
02070,-37.68076713466667,144.9002245618611,2017-02-22
02071,-37.680804045555554,144.90135475783333,2017-02-22
02072,-37.68135103133333,144.90717706641666,2017-02-22
02073,-37.68152296086111,144.90828038116666,2017-02-22
02074,-37.685470962749996,144.92176476449998,2017-02-22
02075,-37.685608716999994,144.92288327463888,2017-02-22
02076,-37.680737064055556,144.88995111916665,2017-02-22
02077,-37.68823423855555,144.94548963325,2017-02-22
02078,-37.680648663999996,144.88882132005554,2017-02-22
02079,-37.68812888130555,144.94436748277778,2017-02-22
02080,-37.68421922905555,144.91473311633334,2017-02-22
02081,-37.684555939666666,144.91577906847223,2017-02-22
02082,-37.687058427055554,144.9346233516389,2017-02-22
02083,-37.68719183355555,144.93574158983333,2017-02-22
